,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,1.0000
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,1.0000
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.7321
test_Cutoff,1.0000
test_Acc,0.7636
test_MCC,0.4995
test_Sen,0.7368
test_Spe,0.7778
test_PPV,0.6364
test_NPV,0.8485
test_Youden Index,0.5146
test_AUC,0.7573
test_95% CIs,[0.6345-0.8801]
test_Std,0.0627
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,1.0000
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7516
cv_val_Cutoff,1.0000
cv_val_Acc,0.8031
cv_val_MCC,0.5445
cv_val_Sen,0.6047
cv_val_Spe,0.9048
cv_val_PPV,0.7647
cv_val_NPV,0.8172
cv_val_Youden Index,0.5094
cv_val_AUC,0.7547
cv_val_95% CIs,[0.6743-0.8351]
cv_val_Std,0.0410
