,label,PCA_feature_3,PCA_feature_11,PCA_feature_129,PCA_feature_160,PCA_feature_162
1,0.0,-2.758241586647062,1.1438806873175698,-5.065392549852277e-16,-9.020562075079397e-17,1.0755285551056204e-16
1,1.0,4.450455152928563,0.2188137352112027,1.2385925618474403e-15,-7.632783294297951e-17,-1.9081958235744878e-17
2,0.0,-0.526318377756612,0.3039849961140699,-1.5959455978986625e-16,1.9949319973733282e-16,4.198030811863873e-16
2,1.0,6.736429557835909,1.9935922253939728,1.1969591984239969e-15,1.942890293094024e-16,3.157196726277789e-16
3,1.0,-0.8322535979329475,-0.31705016197551456,-5.325601071248798e-16,-2.636779683484747e-16,1.0009354456386177e-15
5,1.0,-0.15412484136589127,-0.7034019124760265,5.412337245047638e-16,-1.942890293094024e-16,2.975050761300224e-16
5,0.0,1.4615717032689457,-0.922145726381419,1.231653667943533e-16,-6.938893903907228e-17,2.3592239273284576e-16
6,1.0,-0.24022443868703702,-0.11271802619888541,-3.2526065174565133e-16,4.2365199889871086e-17,2.6194324487249787e-16
7,0.0,-1.7637474442882104,-0.0032408149354684126,1.8041124150158794e-16,-3.469446951953614e-17,2.463307335887066e-16
7,1.0,-0.7097463204521569,-1.0941183771634149,2.8275992658421956e-16,4.163336342344337e-17,2.1510571102112408e-16
8,0.0,-2.1258358474319663,0.6119779080028633,1.734723475976807e-17,-2.220446049250313e-16,4.2327252813834093e-16
8,1.0,-1.2165130365745231,-0.648242928391219,-6.765421556309548e-17,4.683753385137379e-17,2.896988204881268e-16
9,0.0,-1.6316498253189669,-1.4516118148820858,-1.6653345369377348e-16,7.91033905045424e-16,-2.498001805406602e-16
10,1.0,1.9909145503468872,-0.9023831507521607,-6.245004513516506e-16,5.204170427930421e-18,1.9081958235744878e-16
11,0.0,-0.4337000168558884,0.8543908231024047,-6.609296443471635e-16,2.0469737016526324e-16,-8.326672684688674e-17
11,1.0,-0.9861853047151922,1.0858857468544083,-3.0184188481996443e-16,2.688821387764051e-17,2.5500435096859064e-16
12,1.0,0.8363915760942415,-0.9610719305291339,4.614364446098307e-16,3.2959746043559335e-17,-2.7755575615628914e-17
12,0.0,-1.6876126528640252,0.26867696284655174,-5.603156827405087e-16,1.1102230246251565e-16,-1.4051260155412137e-16
13,0.0,0.20311133387521232,0.4121239507572843,1.8735013540549517e-16,4.996003610813204e-16,-6.487865800153259e-16
13,1.0,1.109104749703364,1.21386435559954,-4.839878497975292e-16,-5.2909066017292616e-17,5.204170427930421e-16
14,0.0,1.1954365890073362,0.43301682231288147,-3.434752482434078e-16,-2.185751579730777e-16,-5.754945131553058e-16
14,1.0,2.1354194637571147,-0.1380254883382072,1.7433970933566911e-16,5.551115123125783e-17,-1.3530843112619095e-16
15,0.0,-3.9623273601215776,-0.13769404107272837,-1.0200174038743626e-15,-5.551115123125783e-17,-5.462210544981971e-16
15,1.0,2.9888596688300275,-0.11587704823165755,5.620504062164855e-16,1.942890293094024e-16,-2.7582103268031233e-16
17,1.0,1.4220990404645693,-0.3659010173484959,-4.787836793695988e-16,-4.163336342344337e-17,6.938893903907228e-18
17,0.0,0.3296911440054615,0.7769372101251589,-7.875644580934704e-16,-1.942890293094024e-16,3.7383290907300193e-16
18,0.0,2.3498442732728577,0.6826547442889357,3.209238430557093e-16,3.95516952522712e-16,-3.469446951953614e-16
