,label,PCA_feature_2,PCA_feature_3,PCA_feature_10,PCA_feature_11,PCA_feature_129,PCA_feature_131,PCA_feature_138,PCA_feature_139,PCA_feature_140,PCA_feature_154
1,1.0,-11.033711753282216,22.530387107943348,-8.512075923895434,-1.117372307835492,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,1.4710455076283324e-15,5.551115123125783e-17
1,1.0,-11.033711753282216,22.530387107943348,-8.512075923895434,-1.117372307835492,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,1.4710455076283324e-15,5.551115123125783e-17
1,1.0,-11.033711753282216,22.530387107943348,-8.512075923895434,-1.117372307835492,1.582067810090848e-15,4.440892098500626e-16,-4.996003610813204e-16,1.4710455076283324e-15,1.4710455076283324e-15,5.551115123125783e-17
2,0.0,1.5259782573082017,-4.030280480650442,1.2663202116322623,1.5533186667874217,1.2212453270876722e-15,-2.0122792321330962e-15,8.049116928532385e-16,1.6930901125533637e-15,1.3461454173580023e-15,1.3877787807814457e-17
2,1.0,-3.863631772848839,34.37969619191428,-0.47260682391770603,-12.137164945259894,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.3861802251067274e-15,3.2751579226442118e-15,-1.6653345369377348e-16
2,1.0,-3.863631772848839,34.37969619191428,-0.47260682391770603,-12.137164945259894,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.3861802251067274e-15,3.2751579226442118e-15,-1.6653345369377348e-16
2,1.0,-3.863631772848839,34.37969619191428,-0.47260682391770603,-12.137164945259894,2.1371793224034263e-15,-2.1094237467877974e-15,7.181755190543981e-16,3.3861802251067274e-15,3.2751579226442118e-15,-1.6653345369377348e-16
3,0.0,-3.913129776579316,-10.457337549334719,0.9072705788684886,2.9479532489589424,-1.5265566588595902e-16,-2.636779683484747e-16,-5.689893001203927e-16,-8.181389593575616e-16,-1.4432899320127035e-15,8.326672684688674e-17
4,0.0,-5.9878147064194,-15.016616969710784,-0.12777851826741826,-0.7081732658768449,-5.828670879282072e-16,8.326672684688674e-17,-7.216449660063518e-16,-9.506284648352903e-16,-9.43689570931383e-16,-1.1379786002407855e-15
5,0.0,13.735192880997845,12.25635266614403,2.6052774534942444,1.3938291897217958,-1.6930901125533637e-15,1.7139067942650854e-15,-1.2490009027033011e-15,2.55351295663786e-15,3.552713678800501e-15,-2.498001805406602e-16
5,1.0,-12.096472604772776,-5.570592956764212,0.9420826920976533,6.385849141480519,1.4085954624931674e-15,-6.314393452555578e-16,8.326672684688674e-17,-3.3306690738754696e-16,3.3306690738754696e-16,-1.6653345369377348e-16
7,1.0,-8.580396105958863,-7.108741620284428,-0.1821574708265206,5.4109496026792,1.0685896612017132e-15,-9.228728892196614e-16,3.7470027081099033e-16,-3.608224830031759e-16,-6.106226635438361e-16,-6.869504964868156e-16
7,1.0,-8.580396105958863,-7.108741620284428,-0.1821574708265206,5.4109496026792,1.0685896612017132e-15,-9.228728892196614e-16,3.7470027081099033e-16,-3.608224830031759e-16,-6.106226635438361e-16,-6.869504964868156e-16
7,1.0,-8.580396105958863,-7.108741620284428,-0.1821574708265206,5.4109496026792,1.0685896612017132e-15,-9.228728892196614e-16,3.7470027081099033e-16,-3.608224830031759e-16,-6.106226635438361e-16,-6.869504964868156e-16
7,0.0,-5.694542644848494,-13.957475739768627,3.966327505916876,-0.33872380426394877,3.7470027081099033e-16,4.85722573273506e-16,7.771561172376096e-16,-1.7942969972230965e-15,-1.4432899320127035e-15,0.0
8,1.0,-6.65639952834578,-8.187356731638493,-2.38996623083798,4.631548760844914,1.3079815008865125e-15,-2.706168622523819e-16,-2.1163626406917047e-16,-5.689893001203927e-16,-3.7470027081099033e-16,5.48172618408671e-16
9,0.0,88.54737011593161,6.757358926328596,10.951730070572616,12.402311279699436,-4.385380947269368e-15,5.717648576819556e-15,8.826273045769994e-15,4.163336342344337e-16,1.7486012637846216e-15,-6.661338147750939e-16
10,1.0,12.102914272223764,11.951006727543882,-5.324446964794673,-0.9088622277598302,-3.774758283725532e-15,3.649858193455202e-15,-6.106226635438361e-16,8.881784197001252e-16,1.8041124150158794e-15,4.996003610813204e-16
10,1.0,12.102914272223767,11.951006727543884,-5.324446964794672,-0.9088622277598312,-3.941291737419306e-15,3.4555691641457997e-15,-5.551115123125783e-17,8.881784197001252e-16,1.8041124150158794e-15,4.996003610813204e-16
11,0.0,21.208226417374178,-0.8327379288351415,9.774054267253018,-5.096007398092667,-2.6367796834847468e-15,2.8727020762175925e-15,-5.551115123125783e-17,1.4432899320127035e-15,-7.771561172376096e-16,-1.27675647831893e-15
11,1.0,-4.950303584885789,-7.6435775953978675,-1.2905157352946242,2.2606688359476026,2.0469737016526324e-16,1.3877787807814457e-16,1.3877787807814457e-16,3.7470027081099033e-16,-8.326672684688674e-16,-1.6653345369377348e-16
11,1.0,-4.950303584885789,-7.6435775953978675,-1.2905157352946242,2.2606688359476026,2.0469737016526324e-16,1.3877787807814457e-16,1.3877787807814457e-16,3.7470027081099033e-16,-8.326672684688674e-16,-1.6653345369377348e-16
12,1.0,10.204009051181835,7.025139716703988,-1.757588190700068,4.415049766420627,-1.5265566588595902e-15,1.1102230246251565e-15,-5.551115123125783e-16,1.27675647831893e-15,1.3322676295501878e-15,1.1102230246251565e-16
13,1.0,2.2394523999886258,3.752443227956284,-1.8795708472382318,-0.14396315556264094,-3.608224830031759e-15,8.881784197001252e-16,-3.885780586188048e-16,-4.163336342344337e-16,5.551115123125783e-16,-7.216449660063518e-16
13,1.0,2.2394523999886258,3.752443227956284,-1.8795708472382318,-0.14396315556264094,-3.608224830031759e-15,8.881784197001252e-16,-3.885780586188048e-16,-4.163336342344337e-16,5.551115123125783e-16,-7.216449660063518e-16
13,0.0,39.73608203980563,5.892691397010167,3.932308019587314,11.786860306983145,-3.3653635433950058e-15,2.6645352591003757e-15,2.761679773755077e-15,2.1510571102112408e-16,-1.942890293094024e-16,-5.898059818321144e-16
16,1.0,-0.13420413176225038,4.0616414260344555,-4.391765188481473,0.9902055669896409,4.649058915617843e-16,-2.0816681711721685e-17,-9.645062526431047e-16,1.0894063429134349e-15,3.3306690738754696e-16,4.649058915617843e-16
