,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,0.8967
balance_train_Cutoff,0.7160
balance_train_Acc,0.9048
balance_train_MCC,0.8116
balance_train_Sen,0.8690
balance_train_Spe,0.9405
balance_train_PPV,0.9359
balance_train_NPV,0.8778
balance_train_Youden Index,0.8095
balance_train_AUC,0.9026
balance_train_95% CIs,[0.8479-0.9573]
balance_train_Std,0.0279
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,0.8159
train_Cutoff,0.7160
train_Acc,0.8976
train_MCC,0.7686
train_Sen,0.8140
train_Spe,0.9405
train_PPV,0.8750
train_NPV,0.9080
train_Youden Index,0.7544
train_AUC,0.8904
train_95% CIs,[0.8177-0.9630]
train_Std,0.0371
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.8511
test_Cutoff,0.4800
test_Acc,0.8727
test_MCC,0.7673
test_Sen,1.0000
test_Spe,0.8056
test_PPV,0.7308
test_NPV,1.0000
test_Youden Index,0.8056
test_AUC,0.9313
test_95% CIs,[0.8666-0.9959]
test_Std,0.0330
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,0.9109
cv_train_Cutoff,0.5757
cv_train_Acc,0.8601
cv_train_MCC,0.7204
cv_train_Sen,0.8720
cv_train_Spe,0.8482
cv_train_PPV,0.8517
cv_train_NPV,0.8689
cv_train_Youden Index,0.7202
cv_train_AUC,0.9194
cv_train_95% CIs,[0.8985-0.9404]
cv_train_Std,0.0107
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.7527
cv_val_Cutoff,0.6150
cv_val_Acc,0.8504
cv_val_MCC,0.6642
cv_val_Sen,0.7674
cv_val_Spe,0.8929
cv_val_PPV,0.7857
cv_val_NPV,0.8824
cv_val_Youden Index,0.6603
cv_val_AUC,0.8472
cv_val_95% CIs,[0.7679-0.9265]
cv_val_Std,0.0404
