,Value
balance_train_Number,168
balance_train_PosNum,84
balance_train_NegNum,84
balance_train_AUC-PR,1.0000
balance_train_Cutoff,1.0000
balance_train_Acc,1.0000
balance_train_MCC,1.0000
balance_train_Sen,1.0000
balance_train_Spe,1.0000
balance_train_PPV,1.0000
balance_train_NPV,1.0000
balance_train_Youden Index,1.0000
balance_train_AUC,1.0000
balance_train_95% CIs,[1.0000-1.0000]
balance_train_Std,0.0000
train_Number,127
train_PosNum,43
train_NegNum,84
train_AUC-PR,1.0000
train_Cutoff,1.0000
train_Acc,1.0000
train_MCC,1.0000
train_Sen,1.0000
train_Spe,1.0000
train_PPV,1.0000
train_NPV,1.0000
train_Youden Index,1.0000
train_AUC,1.0000
train_95% CIs,[1.0000-1.0000]
train_Std,0.0000
test_Number,55
test_PosNum,19
test_NegNum,36
test_AUC-PR,0.6794
test_Cutoff,1.0000
test_Acc,0.7273
test_MCC,0.4047
test_Sen,0.6316
test_Spe,0.7778
test_PPV,0.6000
test_NPV,0.8000
test_Youden Index,0.4094
test_AUC,0.7047
test_95% CIs,[0.5737-0.8357]
test_Std,0.0668
cv_train_Number,672
cv_train_PosNum,336
cv_train_NegNum,336
cv_train_AUC-PR,1.0000
cv_train_Cutoff,1.0000
cv_train_Acc,1.0000
cv_train_MCC,1.0000
cv_train_Sen,1.0000
cv_train_Spe,1.0000
cv_train_PPV,1.0000
cv_train_NPV,1.0000
cv_train_Youden Index,1.0000
cv_train_AUC,1.0000
cv_train_95% CIs,[1.0000-1.0000]
cv_train_Std,0.0000
cv_val_Number,127
cv_val_PosNum,43
cv_val_NegNum,84
cv_val_AUC-PR,0.5885
cv_val_Cutoff,1.0000
cv_val_Acc,0.6614
cv_val_MCC,0.2484
cv_val_Sen,0.5116
cv_val_Spe,0.7381
cv_val_PPV,0.5000
cv_val_NPV,0.7470
cv_val_Youden Index,0.2497
cv_val_AUC,0.6249
cv_val_95% CIs,[0.5357-0.7140]
cv_val_Std,0.0455
